1	И	и	CCONJ	_	_	_	_	_	@pn1988m-words1#@pn1988m#00:06:10.000#00:06:10.404
2	собственно	собственно	ADV	_	Degree=Pos	_	_	_	@pn1988m-words1#@pn1988m#00:06:10.404#00:06:10.808
3	исследователи	исследователь	NOUN	_	Animacy=Anim|Case=Nom|Gender=Masc|Number=Plur	_	_	_	@pn1988m-words1#@pn1988m#00:06:10.808#00:06:11.212
4	личности	личность	NOUN	_	Animacy=Inan|Case=Gen|Gender=Fem|Number=Sing	_	_	_	@pn1988m-words1#@pn1988m#00:06:11.212#00:06:11.616
5	Лимонова	Лимонов	PROPN	_	Animacy=Anim|Case=Gen|Gender=Masc|Number=Sing	_	_	_	@pn1988m-words1#@pn1988m#00:06:11.616#00:06:12.020
6	как	как	SCONJ	_	_	_	_	_	@pn1988m-words1#@pn1988m#00:06:12.020#00:06:12.424
7	политического	политический	ADJ	_	Case=Gen|Degree=Pos|Gender=Masc|Number=Sing	_	_	_	@pn1988m-words1#@pn1988m#00:06:12.424#00:06:12.828
8	актора	актор	NOUN	_	Animacy=Inan|Case=Gen|Gender=Masc|Number=Sing	_	_	_	@pn1988m-words1#@pn1988m#00:06:12.828#00:06:13.232
9	говорят	говорить	VERB	_	Aspect=Imp|Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@pn1988m-words1#@pn1988m#00:06:13.232#00:06:13.636
10	/	/	PUNCT	_	_	_	_	_	@pn1988m-words1#@pn1988m#00:06:13.636#00:06:14.040
11	что	что	SCONJ	_	_	_	_	_	@pn1988m-words1#@pn1988m#00:06:14.040#00:06:14.444
12	надо	надо	ADV	_	Degree=Pos	_	_	_	@pn1988m-words1#@pn1988m#00:06:14.444#00:06:14.848
13	отсчитывать	отсчитывать	VERB	_	Aspect=Imp|VerbForm=Inf|Voice=Act	_	_	_	@pn1988m-words1#@pn1988m#00:06:14.848#00:06:15.252
14	его	его	DET	_	_	_	_	_	@pn1988m-words1#@pn1988m#00:06:15.252#00:06:15.656
15	политическое	политический	ADJ	_	Case=Acc|Degree=Pos|Gender=Neut|Number=Sing	_	_	_	@pn1988m-words1#@pn1988m#00:06:15.656#00:06:16.060
16	становление	становление	NOUN	_	Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing	_	_	_	@pn1988m-words1#@pn1988m#00:06:16.060#00:06:16.464
17	и	и	CCONJ	_	_	_	_	_	@pn1988m-words1#@pn1988m#00:06:16.464#00:06:16.868
18	какое-то	какой-то	DET	_	Case=Acc|Gender=Neut|Number=Sing	_	_	_	@pn1988m-words1#@pn1988m#00:06:16.868#00:06:17.272
19	идеологическое	идеологический	ADJ	_	Case=Acc|Degree=Pos|Gender=Neut|Number=Sing	_	_	_	@pn1988m-words1#@pn1988m#00:06:17.272#00:06:17.676
20	становление	становление	NOUN	_	Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing	_	_	_	@pn1988m-words1#@pn1988m#00:06:17.676#00:06:18.080
21	с	с	ADP	_	_	_	_	_	@pn1988m-words1#@pn1988m#00:06:18.080#00:06:18.484
22	восемьдесят	восемьдесят	NUM	_	Case=Acc	_	_	_	@pn1988m-words1#@pn1988m#00:06:18.484#00:06:18.888
23	пятого	пятый	ADJ	_	Case=Gen|Degree=Pos|Gender=Masc|Number=Sing	_	_	_	@pn1988m-words1#@pn1988m#00:06:18.888#00:06:19.292
24	года	год	NOUN	_	Animacy=Inan|Case=Gen|Gender=Masc|Number=Sing	_	_	_	@pn1988m-words1#@pn1988m#00:06:19.292#00:06:19.696
25	с	с	ADP	_	_	_	_	_	@pn1988m-words1#@pn1988m#00:06:19.696#00:06:20.100
26	Перестройки	перестройка	NOUN	_	Animacy=Inan|Case=Gen|Gender=Fem|Number=Sing	_	_	_	@pn1988m-words1#@pn1988m#00:06:20.100#00:06:20.504
27	/	/	PUNCT	_	_	_	_	_	@pn1988m-words1#@pn1988m#00:06:20.504#00:06:20.908
28	он	он	PRON	_	Case=Nom|Gender=Masc|Number=Sing|Person=3	_	_	_	@pn1988m-words1#@pn1988m#00:06:20.908#00:06:21.312
29	сам	сам	ADJ	_	Case=Nom|Degree=Pos|Gender=Masc|Number=Sing	_	_	_	@pn1988m-words1#@pn1988m#00:06:21.312#00:06:21.716
30	писал	писать	VERB	_	Aspect=Imp|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	_	_	_	@pn1988m-words1#@pn1988m#00:06:21.716#00:06:22.120
31	в	в	ADP	_	_	_	_	_	@pn1988m-words1#@pn1988m#00:06:22.120#00:06:22.524
32	/	/	PUNCT	_	_	_	_	_	@pn1988m-words1#@pn1988m#00:06:22.524#00:06:22.928
33	нескольких	несколько	ADJ	_	Case=Loc|Degree=Pos|Number=Plur	_	_	_	@pn1988m-words1#@pn1988m#00:06:22.928#00:06:23.332
34	своих	свой	DET	_	Case=Loc|Number=Plur	_	_	_	@pn1988m-words1#@pn1988m#00:06:23.332#00:06:23.736
35	книгах	книга	NOUN	_	Animacy=Inan|Case=Loc|Gender=Fem|Number=Plur	_	_	_	@pn1988m-words1#@pn1988m#00:06:23.736#00:06:24.140
36	например	например	ADV	_	Degree=Pos	_	_	_	@pn1988m-words1#@pn1988m#00:06:24.140#00:06:24.544
37	там	там	ADV	_	Degree=Pos	_	_	_	@pn1988m-words1#@pn1988m#00:06:24.544#00:06:24.948
38	Иностранец	Иностранец	PROPN	_	Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing	_	_	_	@pn1988m-words1#@pn1988m#00:06:24.948#00:06:25.352
39	в	в	ADP	_	_	_	_	_	@pn1988m-words1#@pn1988m#00:06:25.352#00:06:25.756
40	смутное	смутный	ADJ	_	Case=Acc|Degree=Pos|Gender=Neut|Number=Sing	_	_	_	@pn1988m-words1#@pn1988m#00:06:25.756#00:06:26.160
41	время	время	NOUN	_	Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing	_	_	_	@pn1988m-words1#@pn1988m#00:06:26.160#00:06:26.564
42	где	где	ADV	_	Degree=Pos	_	_	_	@pn1988m-words1#@pn1988m#00:06:26.564#00:06:26.968
43	он	он	PRON	_	Case=Nom|Gender=Masc|Number=Sing|Person=3	_	_	_	@pn1988m-words1#@pn1988m#00:06:26.968#00:06:27.372
44	описывает	описывать	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@pn1988m-words1#@pn1988m#00:06:27.372#00:06:27.776
45	первый	первый	ADJ	_	Animacy=Inan|Case=Acc|Degree=Pos|Gender=Masc|Number=Sing	_	_	_	@pn1988m-words1#@pn1988m#00:06:27.776#00:06:28.180
46	свой	свой	DET	_	Case=Acc|Gender=Masc|Number=Sing	_	_	_	@pn1988m-words1#@pn1988m#00:06:28.180#00:06:28.584
47	визит	визит	NOUN	_	Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing	_	_	_	@pn1988m-words1#@pn1988m#00:06:28.584#00:06:28.988
48	в	в	ADP	_	_	_	_	_	@pn1988m-words1#@pn1988m#00:06:28.988#00:06:29.392
49	СССР	СССР	PROPN	_	Animacy=Inan|Case=Loc|Gender=Masc|Number=Sing	_	_	_	@pn1988m-words1#@pn1988m#00:06:29.392#00:06:29.800
50	и	и	CCONJ	_	_	_	_	_	@pn1988m-words2#@pn1988m#00:06:29.798#00:06:30.083
51	в	в	ADP	_	_	_	_	_	@pn1988m-words2#@pn1988m#00:06:30.083#00:06:30.368
52	других	другой	ADJ	_	Case=Loc|Degree=Pos|Number=Plur	_	_	_	@pn1988m-words2#@pn1988m#00:06:30.368#00:06:30.653
53	что	что	SCONJ	_	_	_	_	_	@pn1988m-words2#@pn1988m#00:06:30.653#00:06:30.938
54	он	он	PRON	_	Case=Nom|Gender=Masc|Number=Sing|Person=3	_	_	_	@pn1988m-words2#@pn1988m#00:06:30.938#00:06:31.223
55	был	быть	AUX	_	Aspect=Imp|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	_	_	_	@pn1988m-words2#@pn1988m#00:06:31.223#00:06:31.508
56	очень	очень	ADV	_	Degree=Pos	_	_	_	@pn1988m-words2#@pn1988m#00:06:31.508#00:06:31.793
