1	я	_	_	_	_	_	_	_	@ovm1978f-words#@ovm1978f#0.0#0.329
2	цитатой	_	_	_	_	_	_	_	@ovm1978f-words#@ovm1978f#0.329#0.658
3	начну	_	_	_	_	_	_	_	@ovm1978f-words#@ovm1978f#0.658#0.987
4	/	_	_	_	_	_	_	_	@ovm1978f-words#@ovm1978f#0.987#1.316
5	э	_	_	_	_	_	_	_	@ovm1978f-words#@ovm1978f#1.316#1.645
6	/	_	_	_	_	_	_	_	@ovm1978f-words#@ovm1978f#1.645#1.974
7	тот	_	_	_	_	_	_	_	@ovm1978f-words#@ovm1978f#1.974#2.303
8	кто	_	_	_	_	_	_	_	@ovm1978f-words#@ovm1978f#2.303#2.632
9	не	_	_	_	_	_	_	_	@ovm1978f-words#@ovm1978f#2.632#2.961
10	знает	_	_	_	_	_	_	_	@ovm1978f-words#@ovm1978f#2.961#3.29
11	математики	_	_	_	_	_	_	_	@ovm1978f-words#@ovm1978f#3.29#3.619
12	даже	_	_	_	_	_	_	_	@ovm1978f-words#@ovm1978f#3.619#3.948
13	не	_	_	_	_	_	_	_	@ovm1978f-words#@ovm1978f#3.948#4.277
14	может	_	_	_	_	_	_	_	@ovm1978f-words#@ovm1978f#4.277#4.606
15	обнаружить	_	_	_	_	_	_	_	@ovm1978f-words#@ovm1978f#4.606#4.935
16	своего	_	_	_	_	_	_	_	@ovm1978f-words#@ovm1978f#4.935#5.264
17	невежества	_	_	_	_	_	_	_	@ovm1978f-words#@ovm1978f#5.264#5.6
18	не	_	_	_	_	_	_	_	@ovm1978f-words#@ovm1978f#6.34#6.653
19	твоя	_	_	_	_	_	_	_	@ovm1978f-words#@ovm1978f#6.653#6.966
20	цитата	_	_	_	_	_	_	_	@ovm1978f-words#@ovm1978f#6.966#7.279
21	абсолютно	_	_	_	_	_	_	_	@ovm1978f-words#@ovm1978f#7.279#7.592
22	но	_	_	_	_	_	_	_	@ovm1978f-words#@ovm1978f#7.592#7.905
23	/	_	_	_	_	_	_	_	@ovm1978f-words#@ovm1978f#7.905#8.218
24	гм	_	_	_	_	_	_	_	@ovm1978f-words#@ovm1978f#8.218#8.531
25	мне	_	_	_	_	_	_	_	@ovm1978f-words#@ovm1978f#8.531#8.844
26	кажется	_	_	_	_	_	_	_	@ovm1978f-words#@ovm1978f#8.844#9.157
27	очень	_	_	_	_	_	_	_	@ovm1978f-words#@ovm1978f#9.157#9.47
28	логичная	_	_	_	_	_	_	_	@ovm1978f-words#@ovm1978f#9.47#9.783
29	вещь	_	_	_	_	_	_	_	@ovm1978f-words#@ovm1978f#9.783#10.096
30	#смеётся#	_	_	_	_	_	_	_	@ovm1978f-words#@ovm1978f#10.096#10.41
